[extract] alias groups (>1 key per tensor): 60; canonical = first sorted member
[extract] phi/e_l full-tensor keys (60): layers.0.level_emb, layers.0.pool.latent_q, layers.0.pool.ln_pool.bias, layers.0.pool.ln_pool.weight, layers.1.level_emb, layers.1.pool.latent_q, layers.1.pool.ln_pool.bias, layers.1.pool.ln_pool.weight, layers.10.level_emb, layers.10.pool.latent_q, layers.10.pool.ln_pool.bias, layers.10.pool.ln_pool.weight, layers.11.level_emb, layers.11.pool.latent_q, layers.11.pool.ln_pool.bias, layers.11.pool.ln_pool.weight, layers.12.level_emb, layers.12.pool.latent_q, layers.12.pool.ln_pool.bias, layers.12.pool.ln_pool.weight, layers.13.level_emb, layers.13.pool.latent_q, layers.13.pool.ln_pool.bias, layers.13.pool.ln_pool.weight, layers.14.level_emb, layers.14.pool.latent_q, layers.14.pool.ln_pool.bias, layers.14.pool.ln_pool.weight, layers.2.level_emb, layers.2.pool.latent_q, layers.2.pool.ln_pool.bias, layers.2.pool.ln_pool.weight, layers.3.level_emb, layers.3.pool.latent_q, layers.3.pool.ln_pool.bias, layers.3.pool.ln_pool.weight, layers.4.level_emb, layers.4.pool.latent_q, layers.4.pool.ln_pool.bias, layers.4.pool.ln_pool.weight, layers.5.level_emb, layers.5.pool.latent_q, layers.5.pool.ln_pool.bias, layers.5.pool.ln_pool.weight, layers.6.level_emb, layers.6.pool.latent_q, layers.6.pool.ln_pool.bias, layers.6.pool.ln_pool.weight, layers.7.level_emb, layers.7.pool.latent_q, layers.7.pool.ln_pool.bias, layers.7.pool.ln_pool.weight, layers.8.level_emb, layers.8.pool.latent_q, layers.8.pool.ln_pool.bias, layers.8.pool.ln_pool.weight, layers.9.level_emb, layers.9.pool.latent_q, layers.9.pool.ln_pool.bias, layers.9.pool.ln_pool.weight
[extract] init validation at S_min=1000: DROPPED (max rel drift 1.1359, threshold 0.5); no silent switching — recorded in NPZ meta
[extract] ssra 1/52 step=1000 dl=31.3s load=0.9s compute=2.7s elapsed=35s
[extract] ssra 2/52 step=2000 dl=3.6s load=1.0s compute=1.8s elapsed=41s
[extract] ssra 3/52 step=3000 dl=3.8s load=0.6s compute=2.7s elapsed=48s
[extract] ssra 4/52 step=4000 dl=4.5s load=0.5s compute=1.9s elapsed=55s
[extract] ssra 5/52 step=5000 dl=4.9s load=0.6s compute=4.1s elapsed=65s
[extract] ssra 6/52 step=6000 dl=7.2s load=0.8s compute=2.8s elapsed=76s
[extract] ssra 7/52 step=7000 dl=4.8s load=0.5s compute=2.7s elapsed=84s
[extract] ssra 8/52 step=8000 dl=4.5s load=0.6s compute=2.0s elapsed=91s
[extract] ssra 9/52 step=9000 dl=4.2s load=0.5s compute=1.7s elapsed=97s
[extract] ssra 10/52 step=10000 dl=4.0s load=0.5s compute=2.3s elapsed=104s
[extract] ssra 11/52 step=11000 dl=3.8s load=0.5s compute=1.7s elapsed=111s
[extract] ssra 12/52 step=12000 dl=3.8s load=0.5s compute=1.8s elapsed=117s
[extract] ssra 13/52 step=13000 dl=3.8s load=0.5s compute=1.7s elapsed=123s
[extract] ssra 14/52 step=14000 dl=3.5s load=0.5s compute=1.7s elapsed=128s
[extract] ssra 15/52 step=15000 dl=3.6s load=0.5s compute=1.8s elapsed=134s
[extract] ssra 16/52 step=16000 dl=3.6s load=0.5s compute=1.9s elapsed=140s
[extract] ssra 17/52 step=17000 dl=4.1s load=0.5s compute=1.8s elapsed=147s
[extract] ssra 18/52 step=18000 dl=4.3s load=0.5s compute=1.9s elapsed=153s
[extract] ssra 19/52 step=19000 dl=3.8s load=0.6s compute=2.1s elapsed=160s
[extract] ssra 20/52 step=20000 dl=3.8s load=0.5s compute=1.8s elapsed=166s
[extract] ssra 21/52 step=21000 dl=4.0s load=0.6s compute=2.2s elapsed=174s
[extract] ssra 22/52 step=22000 dl=3.7s load=0.5s compute=1.8s elapsed=180s
[extract] ssra 23/52 step=23000 dl=3.5s load=0.5s compute=1.7s elapsed=186s
[extract] ssra 24/52 step=24000 dl=4.0s load=0.5s compute=2.7s elapsed=193s
[extract] ssra 25/52 step=25000 dl=4.7s load=1.0s compute=2.8s elapsed=202s
[extract] ssra 26/52 step=26000 dl=3.7s load=0.5s compute=1.6s elapsed=207s
[extract] ssra 27/52 step=27000 dl=3.6s load=0.5s compute=1.8s elapsed=213s
[extract] ssra 28/52 step=28000 dl=3.3s load=0.5s compute=1.7s elapsed=219s
[extract] ssra 29/52 step=29000 dl=3.5s load=0.5s compute=1.6s elapsed=224s
[extract] ssra 30/52 step=30000 dl=3.3s load=0.5s compute=1.6s elapsed=230s
[extract] ssra 31/52 step=31000 dl=3.6s load=0.5s compute=1.6s elapsed=237s
[extract] ssra 32/52 step=32000 dl=3.5s load=0.5s compute=1.6s elapsed=243s
[extract] ssra 33/52 step=33000 dl=3.3s load=0.5s compute=1.7s elapsed=248s
[extract] ssra 34/52 step=34000 dl=3.6s load=0.5s compute=1.6s elapsed=254s
[extract] ssra 35/52 step=35000 dl=3.3s load=0.5s compute=1.6s elapsed=259s
[extract] ssra 36/52 step=36000 dl=3.3s load=0.5s compute=1.6s elapsed=265s
[extract] ssra 37/52 step=37000 dl=3.5s load=0.5s compute=1.5s elapsed=270s
[extract] ssra 38/52 step=38000 dl=12.1s load=0.5s compute=1.6s elapsed=284s
[extract] ssra 39/52 step=39000 dl=3.5s load=0.5s compute=1.7s elapsed=290s
[extract] ssra 40/52 step=40000 dl=3.5s load=0.6s compute=1.6s elapsed=296s
[extract] ssra 41/52 step=41000 dl=3.3s load=0.5s compute=1.7s elapsed=304s
[extract] ssra 42/52 step=42000 dl=4.0s load=0.5s compute=1.6s elapsed=310s
[extract] ssra 43/52 step=43000 dl=3.5s load=0.5s compute=1.6s elapsed=315s
[extract] ssra 44/52 step=44000 dl=3.7s load=0.5s compute=1.9s elapsed=321s
[extract] ssra 45/52 step=45000 dl=3.9s load=0.5s compute=2.0s elapsed=328s
[extract] ssra 46/52 step=46000 dl=3.8s load=0.5s compute=1.7s elapsed=334s
[extract] ssra 47/52 step=47000 dl=3.7s load=0.5s compute=1.7s elapsed=340s
[extract] ssra 48/52 step=48000 dl=3.5s load=0.5s compute=1.6s elapsed=345s
[extract] ssra 49/52 step=49000 dl=3.5s load=0.5s compute=1.7s elapsed=351s
[extract] ssra 50/52 step=50000 dl=3.5s load=0.5s compute=1.8s elapsed=357s
[extract] ssra 51/52 step=51000 dl=3.5s load=0.5s compute=1.8s elapsed=366s
[extract] ssra 52/52 step=51880 dl=3.5s load=0.5s compute=2.0s elapsed=372s
[extract] done: 52/52 ckpts, 393 named params -> /home/ds/extracts/v11-k1-extract-ssra.npz (50.4 MiB, wall 375s)
[extract] alias groups (>1 key per tensor): 0; canonical = first sorted member
