"model","n","depth","trial","key","generated","extracted","correct","category"
"flat","1024","0.1","0","38093"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","1","90788"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","2","50746"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","3","42342"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","4","59563"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","5","86518"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","6","46473"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","7","30321"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","8","16336"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","9","18109"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","10","29261"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","11","45222"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","12","42994"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","13","88290"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","14","41843"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","15","87241"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","16","77338"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","17","66441"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","18","74167"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.1","19","15795"," the pass key. The pass key is the pass key.","","False","cat3"
"flat","1024","0.5","0","47004"," 49004. The pass key is 49004.","49004","False","cat2"
"flat","1024","0.5","1","92540"," 92540. The pass key is 92540.","92540","True","cat1"
"flat","1024","0.5","2","16159"," 16159. Remember it. 16159 is the","16159","True","cat1"
"flat","1024","0.5","3","81754"," 81754. Remember it. 81754 is the","81754","True","cat1"
"flat","1024","0.5","4","33678"," 33678. Remember it. 33678 is the","33678","True","cat1"
"flat","1024","0.5","5","40790"," 40790. The pass key is 40790.","40790","True","cat1"
"flat","1024","0.5","6","49853"," 49853. The pass key is 49853.","49853","True","cat1"
"flat","1024","0.5","7","75983"," 75983. Remember it. 75983 is the","75983","True","cat1"
"flat","1024","0.5","8","86816"," 86816. Remember it. 86816 is the","86816","True","cat1"
"flat","1024","0.5","9","81441"," 81441. The pass key is 81441.","81441","True","cat1"
"flat","1024","0.5","10","92369"," 92369. The pass key is 92369.","92369","True","cat1"
"flat","1024","0.5","11","76613"," 76613. Remember it. 76613 is the","76613","True","cat1"
"flat","1024","0.5","12","10635"," 10635. The pass key is 10635.","10635","True","cat1"
"flat","1024","0.5","13","92047"," 92047. The pass key is 92047.","92047","True","cat1"
"flat","1024","0.5","14","23415"," 23415. Remember it. 23415 is the","23415","True","cat1"
"flat","1024","0.5","15","92714"," 92714. Remember it. 92714 is the","92714","True","cat1"
"flat","1024","0.5","16","30409"," 30409. The pass key is 30409.","30409","True","cat1"
"flat","1024","0.5","17","79322"," 79322. Remember it. 79322 is the","79322","True","cat1"
"flat","1024","0.5","18","18670"," 18670. The pass key is 18670. The pass","18670","True","cat1"
"flat","1024","0.5","19","26490"," 26490. The pass key is 26490.","26490","True","cat1"
"flat","1024","0.9","0","13479"," 13479. Remember it. 13479 is the","13479","True","cat1"
"flat","1024","0.9","1","85396"," 85396. Remember it. 85396 is the","85396","True","cat1"
"flat","1024","0.9","2","13424"," 13424. Remember it. 13424 is the","13424","True","cat1"
"flat","1024","0.9","3","76008"," 76008. Remember it. 76008 is the","76008","True","cat1"
"flat","1024","0.9","4","58288"," 59288. Remember it. 59288 is the","59288","False","cat2"
"flat","1024","0.9","5","83106"," 84106. Remember it. 85106 is the","84106","False","cat2"
"flat","1024","0.9","6","17731"," 17732. Remember it. 17732 is the","17732","False","cat2"
