model,n,depth,cat1,cat2,cat3,trials
flat,1024,0.1,0,0,20,20
flat,1024,0.5,19,1,0,20
flat,1024,0.9,17,3,0,20
flat,2048,0.1,0,0,20,20
flat,2048,0.5,0,0,20,20
flat,2048,0.9,0,0,20,20
flat,4096,0.1,0,0,20,20
flat,4096,0.5,0,0,20,20
flat,4096,0.9,0,0,20,20
flat,8192,0.1,0,0,20,20
flat,8192,0.5,0,0,20,20
flat,8192,0.9,0,0,20,20
flat,16384,0.1,0,0,20,20
flat,16384,0.5,0,0,20,20
flat,16384,0.9,0,0,20,20
flat,32768,0.1,0,0,20,20
flat,32768,0.5,0,0,20,20
flat,32768,0.9,0,0,20,20
ssra,1024,0.1,0,0,20,20
ssra,1024,0.5,0,0,20,20
ssra,1024,0.9,0,0,20,20
ssra,2048,0.1,0,0,20,20
ssra,2048,0.5,0,0,20,20
ssra,2048,0.9,0,0,20,20
ssra,4096,0.1,0,0,20,20
ssra,4096,0.5,0,0,20,20
ssra,4096,0.9,0,0,20,20
ssra,8192,0.1,0,0,20,20
ssra,8192,0.5,0,0,20,20
ssra,8192,0.9,0,0,20,20
ssra,16384,0.1,0,0,20,20
ssra,16384,0.5,0,0,20,20
ssra,16384,0.9,0,0,20,20
ssra,32768,0.1,0,0,20,20
ssra,32768,0.5,0,0,20,20
ssra,32768,0.9,0,0,20,20
